Name,Group,Organization,Link,Date
Advanced Pandas,Programming,LinkedIn,https://drive.google.com/file/d/1I17Le8UJc0qkj82St6uHskCTeSC8jScm/view?usp=drive_link,Feb-24
Business Process Improvement,Operational Management,LinkedIn,https://drive.google.com/file/d/1JfwagUyotpdT1vLv3zdu9tUpGfYo2Ek7/view?usp=drive_link,Feb-24
Coding Exercises: pandas,Programming,LinkedIn,https://drive.google.com/file/d/1J6f3pa6iEvHRmgaoYKi7eIG9HPp_4PZf/view?usp=drive_link,Feb-24
Cost Reduction Tips - How To Cut Costs And Maximize Profits,Operational Management,LinkedIn,https://drive.google.com/file/d/1KCiEczbCsV8yYnWko5likBi9GBOFcQGn/view?usp=drive_link,Feb-24
Faster pandas,Programming,LinkedIn,https://drive.google.com/file/d/1Iq3YWR96ngJD_R1IaiL-NPab0z_Ixsvg/view?usp=drive_link,Feb-24
Getting Started with Power BI,Data Visualization,LinkedIn,https://drive.google.com/file/d/1KBWSpZnJ2Tqs1CER0oGGnfXE046HNOEQ/view?usp=drive_link,Feb-24
Implementing Supply Chain Management,Operational Management,LinkedIn,https://drive.google.com/file/d/1K9OU3B9zLJcLUWu6A1geo32WF7MxBEKx/view?usp=drive_link,Feb-24
Improve Processes and Deliver Operational Excellence,Operational Management,LinkedIn,https://drive.google.com/file/d/1K3UTIrQwYISNyTqwL6SHhWSs1arbVAWM/view?usp=drive_link,Feb-24
Inventory Management Foundations,Operational Management,LinkedIn,https://drive.google.com/file/d/1K3RUORCFpebOHPzgYYHEYEG5scftBg5-/view?usp=drive_link,Feb-24
Operational Excellence Foundations,Operational Management,LinkedIn,https://drive.google.com/file/d/1JqcWXG9APgMD9sMiZ4fijcLehkSC9p2X/view?usp=drive_link,Feb-24
Operational Excellence Work-Out and Kaizen Facilitator,Operational Management,LinkedIn,https://drive.google.com/file/d/1JoHwOvDayoGNtmc7ZWQ2bEdowxPUtPD7/view?usp=drive_link,Feb-24
Operations Management Foundations,Operational Management,LinkedIn,https://drive.google.com/file/d/1JmH8ftmLX-zUKlYatkIhr2zikxUp31Fq/view?usp=drive_link,Feb-24
Power BI Dashboards for Beginners,Data Visualization,LinkedIn,https://drive.google.com/file/d/1JkF3pqk2JN2bc1cCYKrV2Y6PntIDhqUu/view?usp=drive_link,Feb-24
Quality Management Foundations,Operational Management,LinkedIn,https://drive.google.com/file/d/1JiOQdiCTwp6nQhcmiK6Xa1COpcmI168H/view?usp=drive_link,Feb-24
Quality Management for Operational Excellence,Operational Management,LinkedIn,https://drive.google.com/file/d/1JjOH6WYxsDMGu3VD4fEw4mnKALKexjDs/view?usp=drive_link,Feb-24
String Cleaning with pandas 2.0,Programming,LinkedIn,https://drive.google.com/file/d/1I3Mso_Bf1py8NdTE6wgoqEHyUpqVuW6R/view?usp=drive_link,Feb-24
Data Cleaning in Python Essential Training,Programming,LinkedIn,https://drive.google.com/file/d/1J4yNWNUxUbb-8_WkCVv5AayfNAo7Dzsp/view?usp=drive_link,Jan-24
Data Ethics: Watching Out for Data Misuse,Data Analysis,LinkedIn,https://drive.google.com/file/d/138m1guCxf8u3Zyr24_qYnw-od6Q9rO_L/view?usp=drive_link,Jan-24
Demand and Capacity Management for Operations,Operational Management,LinkedIn,https://drive.google.com/file/d/134PDPxfnsB4tjjhRNzC1NpcXS-gWE-jd/view?usp=drive_link,Jan-24
Efficient Python Production Workflows,Programming,LinkedIn,https://drive.google.com/file/d/1J0_7mpK_OCyhJCuovWf6q14mgM5kiKeq/view?usp=drive_link,Jan-24
Excel Data Analysis: Forecasting,Data Analysis,LinkedIn,https://drive.google.com/file/d/133tj07oFbau6alTQkYzWIPXBP8K3BkEZ/view?usp=drive_link,Jan-24
Functional Programming with Python,Programming,LinkedIn,https://drive.google.com/file/d/1IlbsiRwZTcwNhipjh7k6d3X2pRHvrr1i/view?usp=drive_link,Jan-24
GPT-4 Foundations Building AIPowered Apps,Technology,LinkedIn,https://drive.google.com/file/d/1If965FVBhZUD7hXJBVUHpKh7MKZjbQyU/view?usp=drive_link,Jan-24
Generative AI: Working with Large Language Models,Technology,LinkedIn,https://drive.google.com/file/d/12xoFqHHG4piNnkrDyoYETNKveRbj9FVM/view?usp=drive_link,Jan-24
